orig,dest,flow
Iowa,South Dakota,28.569100000000002
Iowa,Tennessee,62.65297999999999
Iowa,Texas,347.9726999999999
Iowa,Utah,25.76334
Iowa,Vermont,5.374
Iowa,Virginia,13.85088
Iowa,Washington,195.53702
Iowa,West Virginia,0
Iowa,Wisconsin,300.84517999999997
Iowa,Wyoming,0.10736000000000001
Kansas,Alabama,88.33158
Kansas,Arizona,66.66782
Kansas,Arkansas,102.13318000000001
Kansas,California,237.81437999999997
Kansas,Colorado,29.388740000000002
Kansas,Connecticut,6.03646
Kansas,Delaware,0
Kansas,Florida,198.33970000000002
Kansas,Georgia,183.25258
Kansas,Idaho,9.74084
Kansas,Illinois,380.65972
Kansas,Indiana,68.12356
Kansas,Iowa,97.55928
Kansas,Kansas,4682.73424
Kansas,Kentucky,68.71776
Kansas,Louisiana,92.7492
Kansas,Maine,4.3764
Kansas,Maryland,21.89066
Kansas,Massachusetts,43.06558
Kansas,Michigan,59.38712
Kansas,Minnesota,36.35296
Kansas,Mississippi,33.21732
Kansas,Missouri,632.7368200000001
Kansas,Montana,0.45594
Kansas,Nebraska,442.98276000000004
Kansas,Nevada,17.3587
Kansas,New Hampshire,13.893899999999999
Kansas,New Jersey,77.42302
Kansas,New Mexico,1.8813600000000001
Kansas,New York,68.6154
Kansas,North Carolina,96.24924000000001
Kansas,North Dakota,5.396739999999999
Kansas,Ohio,60.41944000000001
Kansas,Oklahoma,234.27306
Kansas,Oregon,71.5112
Kansas,Pennsylvania,130.02335999999997
Kansas,Rhode Island,0
Kansas,South Carolina,27.016379999999998
Kansas,South Dakota,0
Kansas,Tennessee,50.90908
Kansas,Texas,2605.56382
Kansas,Utah,62.600559999999994
Kansas,Vermont,0.29236
Kansas,Virginia,28.660719999999998
Kansas,Washington,30.74452
Kansas,West Virginia,0.26896
Kansas,Wisconsin,161.12136
Kansas,Wyoming,10.95064
Kentucky,Alabama,24.488419999999998
Kentucky,Arizona,24.263659999999998
Kentucky,Arkansas,4.81858
Kentucky,California,45.084500000000006
Kentucky,Colorado,0.65062
Kentucky,Connecticut,0.42846
Kentucky,Delaware,4.56142
Kentucky,Florida,42.34138
Kentucky,Georgia,59.06696000000001
Kentucky,Idaho,0
Kentucky,Illinois,107.73364
Kentucky,Indiana,232.24678
Kentucky,Iowa,7.28446
Kentucky,Kansas,20.97524
Kentucky,Kentucky,1178.3551
Kentucky,Louisiana,271.29913999999997
Kentucky,Maine,0
Kentucky,Maryland,38.897800000000004
Kentucky,Massachusetts,0
Kentucky,Michigan,41.028020000000005
Kentucky,Minnesota,19.41726
Kentucky,Mississippi,7.364140000000001
Kentucky,Missouri,17.02892
Kentucky,Montana,1.3596799999999998
Kentucky,Nebraska,0
Kentucky,Nevada,5.95288
Kentucky,New Hampshire,0
Kentucky,New Jersey,6.532300000000001
Kentucky,New Mexico,0
Kentucky,New York,10.3644
Kentucky,North Carolina,79.67882
Kentucky,North Dakota,0
Kentucky,Ohio,160.43574
Kentucky,Oklahoma,2.76044
Kentucky,Oregon,1.8279799999999997
Kentucky,Pennsylvania,38.53338
Kentucky,Rhode Island,0
Kentucky,South Carolina,18.8677
Kentucky,South Dakota,0
Kentucky,Tennessee,153.58634
Kentucky,Texas,35.7186
Kentucky,Utah,5.42762
Kentucky,Vermont,0.2919
Kentucky,Virginia,75.21849999999999
Kentucky,Washington,14.622620000000001
Kentucky,West Virginia,15.374780000000001
Kentucky,Wisconsin,10.70494
Kentucky,Wyoming,0
Louisiana,Alabama,12.52954
Louisiana,Arizona,2.63076
Louisiana,Arkansas,34.95704
Louisiana,California,73.68724
Louisiana,Colorado,0.20732
Louisiana,Connecticut,0
Louisiana,Delaware,5.67072
Louisiana,Florida,20.47898
Louisiana,Georgia,8.968419999999998
Louisiana,Idaho,0
Louisiana,Illinois,25.375359999999997
Louisiana,Indiana,13.524000000000001
Louisiana,Iowa,0
Louisiana,Kansas,2.65534
Louisiana,Kentucky,1.4157
Louisiana,Louisiana,839.8894200000001
Louisiana,Maine,0
Louisiana,Maryland,0.028820000000000002
Louisiana,Massachusetts,3.28078
Louisiana,Michigan,0.19126
Louisiana,Minnesota,0.29118
Louisiana,Mississippi,339.57975999999996
Louisiana,Missouri,191.99035999999998
Louisiana,Montana,0
Louisiana,Nebraska,0.0032
Louisiana,Nevada,0.27342
Louisiana,New Hampshire,0
Louisiana,New Jersey,0
Louisiana,New Mexico,0
Louisiana,New York,0
Louisiana,North Carolina,4.396199999999999
Louisiana,North Dakota,0
Louisiana,Ohio,1.2419
Louisiana,Oklahoma,4.45832
Louisiana,Oregon,4.8452399999999995
Louisiana,Pennsylvania,2.6966200000000002
Louisiana,Rhode Island,0
Louisiana,South Carolina,0.19702
Louisiana,South Dakota,0
Louisiana,Tennessee,6.4669
Louisiana,Texas,197.17274000000003
Louisiana,Utah,0
Louisiana,Vermont,0.34542
Louisiana,Virginia,0.48118
Louisiana,Washington,0
Louisiana,West Virginia,0
Louisiana,Wisconsin,0.67504
Louisiana,Wyoming,0
Maine,Alabama,0.51806
Maine,Arizona,0.20716
Maine,Arkansas,0
Maine,California,7.642739999999999
Maine,Colorado,0.62912
Maine,Connecticut,0.83432
Maine,Delaware,0.13046
Maine,Florida,7.40866
Maine,Georgia,5.58962
Maine,Idaho,0.44426
Maine,Illinois,6.829740000000001
Maine,Indiana,0.22752
Maine,Iowa,0.21526
Maine,Kansas,0.012379999999999999
Maine,Kentucky,0.05178000000000001
Maine,Louisiana,0.35764
Maine,Maine,158.2315
Maine,Maryland,5.22774
Maine,Massachusetts,46.094100000000005
Maine,Michigan,3.1388
Maine,Minnesota,0.25542
Maine,Mississippi,0
Maine,Missouri,0.889
Maine,Montana,0.00104
Maine,Nebraska,0
Maine,Nevada,0
Maine,New Hampshire,26.599580000000003
Maine,New Jersey,3.07882
Maine,New Mexico,0.00258
Maine,New York,11.632579999999999
Maine,North Carolina,2.1417200000000003
Maine,North Dakota,0
Maine,Ohio,2.92686
Maine,Oklahoma,0.8771800000000001
Maine,Oregon,0.69158
Maine,Pennsylvania,8.601360000000001
Maine,Rhode Island,2.41214
Maine,South Carolina,1.2592
Maine,South Dakota,0
Maine,Tennessee,0.42682000000000003
Maine,Texas,2.10796
Maine,Utah,0.25534
Maine,Vermont,6.077420000000001
Maine,Virginia,6.01208
Maine,Washington,0.18918
Maine,West Virginia,0
Maine,Wisconsin,1.05118
Maine,Wyoming,0
Maryland,Alabama,0.40508
Maryland,Arizona,0
Maryland,Arkansas,0
Maryland,California,4.2589
Maryland,Colorado,0
Maryland,Connecticut,13.9452
Maryland,Delaware,81.96634
Maryland,Florida,0.9945
Maryland,Georgia,0.00138
Maryland,Idaho,0
Maryland,Illinois,1.3496
Maryland,Indiana,0
Maryland,Iowa,0
Maryland,Kansas,6.399999999999999e-4
Maryland,Kentucky,1.25648
Maryland,Louisiana,0
Maryland,Maine,6.83126
Maryland,Maryland,703.03426
Maryland,Massachusetts,35.79556
Maryland,Michigan,0.56086
Maryland,Minnesota,0.6949799999999999
Maryland,Mississippi,0
Maryland,Missouri,0
Maryland,Montana,0
Maryland,Nebraska,0
Maryland,Nevada,0
Maryland,New Hampshire,12.103060000000001
Maryland,New Jersey,31.536739999999998
Maryland,New Mexico,0
Maryland,New York,41.82038
Maryland,North Carolina,20.210720000000002
Maryland,North Dakota,0
Maryland,Ohio,1.20724
Maryland,Oklahoma,0
Maryland,Oregon,0
Maryland,Pennsylvania,150.37127999999998
Maryland,Rhode Island,2.3176200000000002
Maryland,South Carolina,3.5229
Maryland,South Dakota,0
Maryland,Tennessee,1.39542
Maryland,Texas,2.59356
Maryland,Utah,0
Maryland,Vermont,0.40587999999999996
Maryland,Virginia,271.18255999999997
Maryland,Washington,0
Maryland,West Virginia,1.3568200000000001
Maryland,Wisconsin,0
Maryland,Wyoming,0
Massachusetts,Alabama,0.42842
Massachusetts,Arizona,3.9727400000000004
Massachusetts,Arkansas,0.22746
Massachusetts,California,29.140620000000002
Massachusetts,Colorado,7.21216
Massachusetts,Connecticut,51.37670000000001
Massachusetts,Delaware,0.21345999999999998
Massachusetts,Florida,31.17634
Massachusetts,Georgia,6.998279999999999
Massachusetts,Idaho,0.71868
Massachusetts,Illinois,21.21146
Massachusetts,Indiana,10.840959999999999
Massachusetts,Iowa,4.56724
Massachusetts,Kansas,1.16014
Massachusetts,Kentucky,3.30934
Massachusetts,Louisiana,1.48682
Massachusetts,Maine,25.38098
Massachusetts,Maryland,19.645699999999998
Massachusetts,Massachusetts,443.1178999999999
Massachusetts,Michigan,6.05486
Massachusetts,Minnesota,0.6697
Massachusetts,Mississippi,0.79902
